lon,lat,lon_norm,lat_norm,lon_bin,lat_bin,partition_id,local_cluster,is_border,global_cluster
121.3943,31.3506,0.34271384786848175,0.4170786516853931,41,50,41_50,-1,True,-1
121.3928,31.3503,0.3406241292839078,0.41680898876404543,40,50,40_50,-1,True,-1
121.3936,31.3486,0.3417386458623591,0.41528089887640535,41,49,41_49,-1,True,-1
121.3943,31.3468,0.34271384786848175,0.413662921348316,41,49,41_49,-1,True,-1
121.395,31.3451,0.34368904987460436,0.41213483146067276,41,49,41_49,-1,False,-1
121.3941,31.3448,0.34243521872386395,0.41186516853932503,41,49,41_49,-1,True,-1
121.3935,31.3441,0.3415993312900502,0.41123595505618044,40,49,40_49,-1,True,-1
121.3953,31.3423,0.344106993591531,0.40961797752809115,41,49,41_49,-1,True,-1
121.3973,31.3393,0.3468932850376098,0.40692134831460786,41,48,41_48,-1,True,-1
121.3993,31.3363,0.3496795764836886,0.4042247191011246,41,48,41_48,-1,True,-1
121.4,31.3346,0.350654778489831,0.4026966292134813,42,48,42_48,-1,True,-1
121.4001,31.3341,0.35079409306212006,0.4022471910112352,42,48,42_48,-1,True,-1
121.3943,31.3438,0.34271384786848175,0.41096629213483277,41,49,41_49,-1,True,-1
121.3941,31.3476,0.34243521872386395,0.41438202247190986,41,49,41_49,-1,True,-1
121.3925,31.3508,0.34020618556700094,0.41725842696629156,40,50,40_50,-1,True,-1
121.3925,31.3508,0.34020618556700094,0.41725842696629156,40,50,40_50,-1,True,-1
121.3928,31.3503,0.3406241292839078,0.41680898876404543,40,50,40_50,-1,True,-1
121.3933,31.3491,0.3413207021454324,0.4157303370786515,40,49,40_49,-1,True,-1
121.3936,31.3445,0.3417386458623591,0.41159550561797736,41,49,41_49,-1,True,-1
121.3941,31.3436,0.34243521872386395,0.4107865168539311,41,49,41_49,-1,True,-1
121.3963,31.341,0.3455001393145605,0.40844943820224794,41,49,41_49,-1,True,-1
121.3985,31.3376,0.34856505990525705,0.4053932584269646,41,48,41_48,-1,True,-1
